"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.123399167E-1,1.043137791E-2,-1.070034617E-1,1.226863245E-2,1.082084738E-1
8.223189167E-1,-7.887163013E-3,-9.981372535E-2,2.203932524E-2,1.025217975E-1
8.323289167E-1,8.875196278E-3,-9.831216037E-2,-2.006998301E-2,1.007315949E-1
8.423079167E-1,2.445660073E-2,-8.199433565E-2,-1.428591728E-2,8.674839382E-2
8.523179167E-1,-1.572279744E-3,-1.086377585E-1,-1.397834917E-2,1.095446433E-1
8.622969167E-1,-5.452035237E-3,-1.334913486E-1,-3.749818484E-2,1.387651927E-1
8.723069167E-1,-1.917101014E-3,-1.197147238E-1,2.405549088E-3,1.197542360E-1
8.823169167E-1,-2.286961159E-2,-8.603651583E-2,1.251538495E-2,8.989958871E-2
8.922959167E-1,-1.733350435E-2,-9.875479460E-2,-1.727500479E-2,1.017417595E-1
9.023059167E-1,-1.217189301E-2,-9.680767179E-2,-2.870982885E-3,9.761210396E-2
9.122849167E-1,-4.265141822E-3,-1.066842037E-1,-5.192327499E-3,1.068956081E-1
9.222949167E-1,-7.480617072E-3,-8.377422810E-2,-6.396853924E-4,8.410998824E-2
9.322739167E-1,-8.792092726E-3,-9.290640950E-2,1.211893916E-2,9.410510351E-2
9.422839167E-1,-3.312922753E-2,-9.830046594E-2,1.349537373E-3,1.037417398E-1
9.522939167E-1,-2.291267999E-3,-1.345245516E-1,-1.070040464E-2,1.349688985E-1
9.622729167E-1,-1.796712326E-2,-1.348268527E-1,-3.378286859E-2,1.401512752E-1
9.722829167E-1,-2.614580652E-2,-1.198597348E-1,5.133763980E-4,1.226793494E-1
9.822619167E-1,2.162000678E-2,-7.914498746E-2,-1.386726578E-2,8.320850193E-2
9.922719167E-1,-3.864499742E-2,-4.995276332E-2,1.556646208E-2,6.504636139E-2
1.002250917E0,1.195139816E-2,-9.291342616E-2,8.038756647E-3,9.402320079E-2
1.012260917E0,4.093160592E-3,-9.770346522E-2,2.217966755E-2,1.002729212E-1
1.022269917E0,1.407532616E-2,-1.252555454E-1,-2.435363949E-2,1.283750997E-1
1.032249917E0,2.128932847E-2,-1.278014231E-1,-2.987107675E-2,1.329613495E-1
