"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.058786250E-1,-5.747812986E-2,-1.056445688E-1,9.074878693E-3,1.206103800E-1
8.158886250E-1,-4.431692451E-2,-1.248018014E-1,-1.716859460E-2,1.335448991E-1
8.258676250E-1,-2.202470720E-2,-1.166753411E-1,-2.699074745E-2,1.217650336E-1
8.358776250E-1,-3.957044721E-2,-8.882446826E-2,-2.927817822E-2,1.015520466E-1
8.458566250E-1,-1.512323856E-2,-8.139324188E-2,1.452331538E-2,8.405057322E-2
8.558666250E-1,-2.495884001E-2,-7.755454481E-2,2.942318916E-3,8.152489408E-2
8.658456250E-1,-1.269021213E-2,-1.288264400E-1,4.269636869E-3,1.295203572E-1
8.758556250E-1,-2.179666579E-2,-1.124899042E-1,-9.635041952E-3,1.149865523E-1
8.858346250E-1,-1.032179743E-2,-9.822796047E-2,8.602421384E-3,9.914269198E-2
8.958446250E-1,1.053375900E-2,-1.301660371E-1,-7.310189009E-3,1.307960097E-1
9.058546250E-1,-2.120814353E-2,-1.091675162E-1,-8.642187018E-3,1.115438001E-1
9.158336250E-1,-1.803427488E-2,-8.302169144E-2,3.451845517E-2,9.170256304E-2
9.258436250E-1,-1.063140750E-2,-8.913612485E-2,-1.330592394E-2,9.074868148E-2
9.358226250E-1,-2.704278767E-2,-8.181599557E-2,6.733654687E-3,8.643212136E-2
9.458326250E-1,-3.448278487E-2,-1.190189052E-1,-8.431684971E-3,1.242000626E-1
9.558116250E-1,-1.596114457E-2,-9.161534429E-2,1.405670643E-3,9.300594258E-2
9.658216250E-1,-2.121516019E-2,-1.093832785E-1,-2.260767460E-2,1.136920911E-1
9.758006250E-1,-5.461708724E-2,-9.783912063E-2,-2.617213726E-2,1.150673738E-1
9.858106250E-1,-1.999396920E-2,-9.721229911E-2,-4.702329686E-3,9.935845111E-2
9.957896250E-1,-1.215080649E-2,-1.163467276E-1,-2.886302590E-2,1.204876649E-1
1.005799625E0,-3.046604007E-2,-9.413783312E-2,-1.033436666E-2,9.948321646E-2
1.015809625E0,-1.020339131E-2,-1.382702780E-1,-9.881794453E-4,1.386497583E-1
1.025788625E0,-1.813455462E-2,-7.195875943E-2,-4.328106742E-3,7.433476735E-2
1.035798625E0,-3.033418536E-2,-8.286615551E-2,-1.676513672E-2,8.982222631E-2
1.045803583E0,-3.498476833E-2,-7.728498816E-2,-1.286036839E-2,8.580380228E-2
1.055813583E0,-7.492329776E-3,-1.257022727E-1,-7.973262122E-3,1.261775307E-1
1.065792583E0,-1.967091054E-2,-1.204479647E-1,1.138569832E-2,1.225736148E-1
1.075802583E0,-1.851988614E-2,-1.072233170E-1,1.399472708E-2,1.097072390E-1
1.085781583E0,-3.003860861E-2,-1.061778349E-1,1.560034852E-3,1.103561703E-1
1.095791583E0,-3.817588627E-2,-1.144645089E-1,1.477123390E-2,1.215636107E-1
1.105800583E0,-6.704709828E-3,-1.124881500E-1,-5.177127023E-3,1.128066473E-1
1.115780583E0,-4.734490514E-2,-1.204427022E-1,2.598853469E-2,1.319976836E-1
1.125789583E0,-2.686240107E-2,-6.164836407E-2,-2.635920248E-3,6.729827233E-2
1.135769583E0,-1.710778356E-2,-9.690064251E-2,-2.555817733E-2,1.016643065E-1
1.145778583E0,-3.751661271E-2,-1.020853686E-1,1.543662648E-3,1.087717868E-1
1.155758583E0,-2.995850176E-2,-1.287089109E-1,-5.661271911E-3,1.322707284E-1
1.165767583E0,-4.785946012E-2,-8.247205317E-2,4.953761101E-3,9.548144964E-2
1.175747583E0,-2.963924378E-2,-8.848825336E-2,7.327731798E-3,9.360743243E-2
1.185756583E0,-3.223306865E-2,-9.756547093E-2,1.308609147E-3,1.027604218E-1
1.195736583E0,-3.936082453E-2,-1.095967019E-1,-1.737909322E-2,1.177401565E-1
1.205745583E0,-3.499704748E-2,-8.176044703E-2,-8.236385684E-3,8.931630355E-2
1.215755583E0,-4.834477901E-3,-9.491317391E-2,-3.680822025E-2,1.019152974E-1
1.225734583E0,-2.801488727E-2,-8.268489182E-2,-3.786656400E-2,9.516040097E-2
1.235744583E0,-2.330963284E-2,-1.246158600E-1,1.469288578E-2,1.276257515E-1
1.245723583E0,-5.355494052E-2,-7.634534061E-2,-1.326616516E-2,9.419519003E-2
1.255733583E0,-2.746583372E-2,-7.785275280E-2,-1.392806768E-3,8.256732436E-2
1.265713583E0,9.034532905E-3,-7.264814615E-2,-4.674147248E-2,8.685701569E-2
1.275722583E0,4.832723737E-4,-1.060649836E-1,2.696150909E-2,1.094391944E-1
1.285702583E0,-1.952619195E-2,-1.026350069E-1,-5.488196611E-3,1.046199652E-1
1.295711583E0,9.250002801E-3,-1.185809487E-1,-2.541784873E-2,1.216267692E-1
1.305721583E0,-2.524623066E-2,-1.052814567E-1,-1.185113440E-2,1.089128398E-1
1.315700583E0,-3.713508189E-2,-1.108029824E-1,-2.966877222E-3,1.168978939E-1
1.325710583E0,-3.429187328E-2,-1.054954648E-1,1.024434466E-3,1.109336519E-1
1.335689583E0,-6.107241333E-2,-8.678788304E-2,-7.911280494E-3,1.064169379E-1
1.345699583E0,-1.700048715E-2,-1.329387867E-1,-2.475713391E-3,1.340442716E-1
1.355678583E0,-1.844650358E-2,-1.071239144E-1,-2.064651618E-2,1.106439567E-1
1.365688583E0,-3.668543100E-2,-1.000540459E-1,-1.950046420E-2,1.083369792E-1
1.375667583E0,-3.101655543E-2,-7.732416451E-2,-3.448687792E-3,8.338433051E-2
1.385677583E0,-2.640017867E-2,-9.064061344E-2,-1.915664792E-2,9.633103029E-2
1.395656583E0,-4.005985916E-2,-1.161169320E-1,3.828756809E-3,1.228926100E-1
1.405666583E0,-2.342219174E-2,-1.173214585E-1,-9.067862034E-3,1.199797891E-1
1.415676583E0,-4.405672342E-2,-1.283358586E-1,6.278740168E-3,1.358326546E-1
1.425655583E0,-4.265134513E-2,-1.161455834E-1,-4.844998321E-3,1.238241002E-1
1.435665583E0,-1.335591763E-2,-9.427933574E-2,-1.867600451E-2,9.703487428E-2
1.445644583E0,-2.823678911E-2,-1.019374341E-1,2.876011491E-2,1.096161527E-1
1.455654583E0,-2.128240317E-2,-1.209666127E-1,-2.564939390E-2,1.254741148E-1
1.465633583E0,-4.338809431E-2,-8.576228142E-2,-4.221572300E-2,1.049755348E-1
1.475643583E0,1.730483472E-3,-1.272424293E-1,3.309056739E-2,1.314861819E-1
1.485622583E0,-2.218404382E-2,-1.156859922E-1,-1.342403541E-2,1.185562539E-1
1.495632583E0,-2.595111251E-2,-8.787721932E-2,1.079863787E-2,9.226308306E-2
1.505611583E0,-5.074096799E-2,-8.374265313E-2,3.038914919E-2,1.025230617E-1
1.515621583E0,-6.153872877E-2,-7.097350359E-2,6.513800521E-3,9.416306573E-2
1.525631583E0,-5.435367018E-2,-7.696046770E-2,-2.993423353E-2,9.885996858E-2
1.535610583E0,-3.215968609E-2,-1.513259411E-1,-1.618158460E-2,1.555494440E-1
1.545620583E0,-4.304895580E-2,-1.281756449E-1,-1.595237374E-2,1.361495015E-1
1.555599583E0,-3.650621384E-2,-1.426024801E-1,-1.977411389E-2,1.485233535E-1
1.565609583E0,-3.558118433E-2,-1.030519134E-1,-5.782898564E-3,1.091749030E-1
1.575588583E0,-2.106605619E-2,-9.736198783E-2,-3.328235149E-3,9.967051995E-2
1.585598583E0,-6.127706587E-2,-9.651823461E-2,1.761415243E-2,1.156758695E-1
1.595577583E0,-2.338593900E-3,-1.079653287E-1,3.544582129E-3,1.080488097E-1
1.605587583E0,-8.401864171E-3,-6.042571127E-2,-5.563040972E-3,6.126014471E-2
1.615597583E0,-6.460588574E-3,-1.148708904E-1,-1.601552139E-2,1.161617733E-1
1.625576583E0,-8.212414384E-4,-1.050189167E-1,-9.714564085E-3,1.054704701E-1
1.635586583E0,-2.630311489E-2,-1.000704181E-1,-4.578369856E-3,1.035707676E-1
1.645565583E0,-3.031605899E-2,-1.208847517E-1,2.266498188E-2,1.266723649E-1
1.655575583E0,-2.338184595E-2,-7.999224901E-2,-4.192453623E-3,8.344487575E-2
1.665554583E0,-2.347920209E-2,-1.014521152E-1,1.345912327E-2,1.049997743E-1
1.675564583E0,-2.193875313E-3,-5.437676668E-2,-3.800222397E-2,6.637631257E-2
1.685543583E0,-3.710672289E-2,-8.011387110E-2,-1.444846988E-2,8.946451536E-2
1.695553583E0,-4.570008337E-2,-1.055036509E-1,-3.067098498E-2,1.189967533E-1
1.705532583E0,-5.113039255E-2,-1.041049969E-1,-1.505774746E-2,1.169568433E-1
1.715542583E0,-5.319270551E-2,-7.327847600E-2,-1.300186644E-2,9.147812578E-2
1.725551583E0,-3.847847968E-2,-1.352613008E-1,8.117109337E-3,1.408619905E-1
1.735531583E0,-2.669663250E-2,-9.034299016E-2,-4.298288226E-2,1.035475457E-1
1.745540583E0,-4.744167656E-2,-1.087307292E-1,1.719104243E-4,1.186301551E-1
1.755520583E0,-9.188314676E-3,-8.206801057E-2,9.332160749E-3,8.310639391E-2
1.765529583E0,-2.063862473E-2,-6.457548022E-2,-3.197608123E-2,7.495608880E-2
1.775509583E0,-8.977230191E-3,-1.086213863E-1,2.066990733E-2,1.109344008E-1
1.785518583E0,-1.048785836E-2,-1.040588039E-1,-9.877114396E-3,1.050513552E-1
1.795498583E0,-2.210276753E-2,-1.192755979E-1,1.022795190E-2,1.217366485E-1
1.805507583E0,-2.173936307E-2,-7.644123495E-2,2.689721484E-3,7.951790307E-2
1.815517583E0,-1.340181828E-2,-1.041225386E-1,-8.646864791E-3,1.053369833E-1
1.825496583E0,-2.309620947E-2,-8.995181143E-2,9.311103921E-3,9.333520198E-2
1.835506583E0,-1.964138210E-2,-7.853804648E-2,3.815895219E-3,8.104671302E-2
1.845485583E0,1.646868289E-3,-8.303806365E-2,-1.637337099E-2,8.465293537E-2
1.855495583E0,-2.387242734E-2,-1.080156147E-1,-2.708430290E-2,1.138895310E-1
1.865474583E0,-4.937184244E-2,-9.378173769E-2,1.861636519E-2,1.076065156E-1
1.875484583E0,-2.281437367E-2,-1.322277653E-1,-1.513961305E-2,1.350329051E-1
1.885463583E0,-2.258311629E-2,-1.035091656E-1,-1.442391157E-2,1.069214372E-1
1.895473583E0,-1.462008566E-2,-1.163508207E-1,-8.035828471E-2,1.421573575E-1
1.905452583E0,1.399139303E-1,-3.513369691E-1,-3.435227501E-1,5.109025872E-1
1.915462583E0,-1.350347212E-1,2.157944173E-1,-8.486859298E-1,8.860414290E-1
1.925472583E0,-3.010167083E-1,9.239887118E-2,-3.534033751E-1,4.733313381E-1
1.935451583E0,1.284554341E-1,-4.068282151E-1,-7.137240064E-1,8.315118475E-1
1.945461583E0,8.781260759E-2,1.279721618E-2,-9.815089417E-1,9.855123669E-1
1.955440583E0,-2.326586643E-1,1.558130944E-1,-8.409722829E-1,8.863645723E-1
1.965450583E0,-5.387185961E-2,-2.447632778E-1,-5.213237143E-1,5.784372520E-1
1.975429583E0,2.381734657E-1,-4.938353688E-1,-1.240484462E0,1.356245432E0
1.985439583E0,-1.418861961E-1,-8.547109008E-2,-8.155532670E-1,8.322043807E-1
1.995418583E0,-1.117742050E-1,-2.261387265E-1,-9.717546165E-1,1.003961768E0
2.005428583E0,1.132146665E-1,-4.454981911E-1,-1.204029411E0,1.288787423E0
2.015438583E0,-1.034676504E-1,-1.657527763E-1,-6.698149252E-1,6.977331664E-1
2.025417583E0,-1.346552369E-1,7.713997722E-2,-5.136311173E-1,5.365627024E-1
2.035427583E0,-6.453513443E-2,1.072888058E-1,-7.004438102E-1,7.115456435E-1
2.045410208E0,-2.218816611E-1,1.450378454E-1,-8.066619909E-1,8.491001211E-1
2.055420208E0,-4.518494368E-2,5.844876766E-3,-8.481199193E-1,8.493428279E-1
2.065399208E0,4.453531802E-2,-1.795481122E-1,-1.046962674E0,1.063180022E0
2.075409208E0,-6.786395431E-2,-1.633039623E-1,-5.178340960E-1,5.471981829E-1
2.085388208E0,-1.955039942E-1,8.782751799E-2,-5.459545255E-1,5.865166908E-1
2.095398208E0,-1.114488074E-1,-2.512168497E-1,-5.824540150E-1,6.440368172E-1
2.105377208E0,1.619400993E-1,9.695560634E-2,-6.972243333E-1,7.223203973E-1
2.115387208E0,4.947913885E-3,2.189489901E-2,-7.851009679E-1,7.854217964E-1
2.125397208E0,-6.903222799E-3,-4.342241746E-1,-3.123009574E-1,5.349113724E-1
2.135376208E0,9.708541453E-2,-5.104747903E-1,3.367879272E-2,5.207152296E-1
2.145386208E0,1.556268606E-1,-3.649890482E-2,-7.620231771E-1,7.786085103E-1
2.155365208E0,-2.266772550E-1,2.809943801E-1,-2.402924967E-1,4.336829528E-1
