,t,a,a_kal,v_kal
27,0.4224112917,-0.01686687827,-0.007820789165196724,0.0003947406285336246
28,0.4324212917,-0.0356387794,-0.008037002098559048,0.00031537238325852725
29,0.4424002917,-0.0116184175,-0.008048831957130437,0.00023511211423766446
30,0.4524102917,-0.0005344309425,-0.007992860408448994,0.00015482344394793926
31,0.4624202917,0.006498600044,-0.008010178404201254,7.472823469062505e-05
32,0.4723992917,-0.002800811729,-0.008198809147107326,-6.146508696629232e-06
33,0.4824092917,0.01023263196,-0.008586207185502124,-9.015551544133968e-05
34,0.4923882917,-0.002269884548,-0.009209182437500286,-0.00017894561196530985
35,0.5023982917,-0.003684915304,-0.010014409180065294,-0.0002751596880112263
36,0.5123772917,-0.01027939598,-0.010939350701662331,-0.00037970847294110585
37,0.5223872917,-0.005871773958,-0.011903805188237039,-0.0004940384681700518
38,0.5323972917,-0.0182199194,-0.012840425161259467,-0.0006178833410692827
39,0.5423762917,-0.01059631507,-0.013642734974229749,-0.0007500210685653056
40,0.5523862917,-0.03300168514,-0.014235897474442037,-0.0008895536239709073
41,0.5623652917,-0.03282509466,-0.014493636115556974,-0.0010328996318182083
42,0.5723752917,-0.02407883406,-0.01438294274290841,-0.001177426909004827
43,0.5823542917,-0.008025883636,-0.013958411811439031,-0.001318836097553743
44,0.5923642917,0.003912965851,-0.013317209278001377,-0.0014553505811063933
45,0.6023732917,-0.02877766569,-0.01250503010761606,-0.0015845779781117149
46,0.6123532917,-0.02985939145,-0.011430678949724368,-0.0017040171663078435
47,0.6223622917,-0.03195502897,-0.01009101958276524,-0.0018117225066136883
48,0.6323422917,-0.01118221065,-0.008564440110127932,-0.0019048132504812252
49,0.6423512917,0.003946870565,-0.0070426066163505885,-0.0019829187158238873
50,0.6523312917,0.0009998738766,-0.005719527459664007,-0.0020466017648632
51,0.6623412917,0.03076688389,-0.004732302897561199,-0.002098913175801112
52,0.6723502917,0.004663743773,-0.004230848650903556,-0.002143769267725404
53,0.6823302917,0.03104987542,-0.0041849850054333565,-0.0021857642776705252
54,0.6923392917,-0.01476188064,-0.004584450075185916,-0.002229650915531484
55,0.7023192917,-0.0111132135,-0.005217072526345265,-0.0022785605133131244
56,0.7123639167,-0.01653475642,-0.005969982049257352,-0.002334745397346356
57,0.7223439167,0.001546012955,-0.006766900251066783,-0.002398302440024973
58,0.7323529167,-0.01521678488,-0.007595371966897731,-0.002470178431339777
59,0.7423629167,-0.007694926662,-0.008368366853422661,-0.00255007694413548
60,0.7523419167,-0.01506124894,-0.009043761622996967,-0.002636954759168575
61,0.7623519167,-0.01867950599,-0.009556287033882553,-0.002730048002696258
62,0.7723309167,-0.02300293724,-0.009858144162531191,-0.0028269163071507637
63,0.7823409167,-0.01736856937,-0.009933223533219846,-0.0029259721024679983
64,0.7923199167,-0.0009987044334,-0.009826723633528267,-0.0030245643588564875
65,0.8023299167,-0.03132821202,-0.009612766907843835,-0.0031218590090160547
