,t,a,a_kal,v_kal
61,0.765900625,0.0005040299892,-0.003009824975389145,0.0011315195832518428
62,0.775879625,-0.01749136319,-0.003326216820158104,0.00109990590271296
63,0.785889625,0.0148694694,-0.0035888072837582468,0.0010652962070728583
64,0.795868625,-0.01313752641,-0.003868107698257525,0.0010280899297700908
65,0.805878625,0.009074878693,-0.004082722194424891,0.0009882960261572156
66,0.815888625,-0.0171685946,-0.004268055506355168,0.000946500383764811
67,0.825867625,-0.02699074745,-0.004340072279838566,0.0009035501301755975
68,0.835877625,-0.02927817822,-0.004268092740540155,0.0008604662642486022
69,0.845856625,0.01452331538,-0.004071754676308049,0.0008188545955622378
70,0.855866625,0.002942318916,-0.00390342574899688,0.0007789388175335868
71,0.865845625,0.004269636869,-0.003773553514058717,0.0007406345295005711
72,0.875855625,-0.009635041952,-0.0037083665796766646,0.0007031875194314253
73,0.885834625,0.008602421384,-0.0036906215726797142,0.0006662702680452433
74,0.895844625,-0.007310189009,-0.0037780034359610553,0.0006288897998769963
75,0.905854625,-0.008642187018,-0.003939579202381794,0.0005902632987720901
76,0.915833625,0.03451845517,-0.004179825332988489,0.0005497515298428602
77,0.925843625,-0.01330592394,-0.004601518083801381,0.0005058009060418271
78,0.935822625,0.006733654687,-0.0050618815217539515,0.00045758537370990844
79,0.945832625,-0.008431684971,-0.00557029111968497,0.00040437134963950685
80,0.955811625,0.001405670643,-0.00604600843221532,0.00034641182302529996
81,0.965821625,-0.0226076746,-0.0064637179781125865,0.000283800642341609
82,0.975800625,-0.02617213726,-0.006717294664433089,0.00021803397976162764
83,0.985810625,-0.004702329686,-0.006767131654444477,0.00015054442603564493
84,0.995789625,-0.0288630259,-0.006654569580213439,8.357684772531952e-05
85,1.005799625,-0.01033436666,-0.006324258393426737,1.8617813717249955e-05
86,1.015809625,-0.0009881794453,-0.005842089969646311,-4.2274759839929754e-05
87,1.025788625,-0.004328106742,-0.005261138863218329,-9.767432010150765e-05
88,1.035798625,-0.01676513672,-0.004600831537674051,-0.00014703348195797437
89,1.045803583,-0.01286036839,-0.003860410912401061,-0.00018936066962838417
90,1.055813583,-0.007973262122,-0.0030912358059735426,-0.00022415366145384856
91,1.065792583,0.01138569832,-0.0023606100367293487,-0.00025135564628601454
92,1.075802583,0.01399472708,-0.0017730515985426073,-0.0002720446227705508
93,1.085781583,0.001560034852,-0.0013777973305351575,-0.0002877657835021843
94,1.095791583,0.0147712339,-0.0011692422248296887,-0.0003005137164767854
95,1.105800583,-0.005177127023,-0.0011899450419907936,-0.00031232026915358846
96,1.115780583,0.02598853469,-0.0013904488411555851,-0.000325196434630489
97,1.125789583,-0.002635920248,-0.001832206682080527,-0.000341324214196524
98,1.135769583,-0.02555817733,-0.00241252696266552,-0.000362505435083807
99,1.145778583,0.001543662648,-0.003041891172792189,-0.0003898020706427049
100,1.155758583,-0.005661271911,-0.0037689977799025584,-0.0004237884065166513
101,1.165767583,0.004953761101,-0.004565580506578061,-0.00046549880355134423
102,1.175747583,0.007327731798,-0.005442834819587929,-0.0005154407960289119
103,1.185756583,0.001308609147,-0.0063804917626871065,-0.0005746106339099082
104,1.195736583,-0.01737909322,-0.007321409323375633,-0.0006429831203293605
105,1.205745583,-0.008236385684,-0.00817063168337314,-0.0007205130395476343
106,1.215755583,-0.03680822025,-0.008905470892559372,-0.0008059789329401771
107,1.225734583,-0.037866564,-0.00942611938354649,-0.0008974444026228069
108,1.235744583,0.01469288578,-0.009731896423299177,-0.0009933302717360702
109,1.245723583,-0.01326616516,-0.009975370936824293,-0.0010916596822294058
110,1.255733583,-0.001392806768,-0.010106628661978218,-0.001192170090221413
111,1.265713583,-0.04674147248,-0.010161956410794783,-0.0012933103297345491
112,1.275722583,0.02696150909,-0.010047122743533289,-0.0013944466663623855
113,1.285702583,-0.005488196611,-0.009967469618847159,-0.0014943194822506628
114,1.295711583,-0.02541784873,-0.00985415384229137,-0.0015935167968619299
115,1.305721583,-0.0118511344,-0.009656854253967527,-0.0016911693923837064
116,1.315700583,-0.002966877222,-0.009417663448019238,-0.001786341698457769
117,1.325710583,0.001024434466,-0.00917244294570983,-0.0018793851809583836
118,1.335689583,-0.007911280494,-0.008937020307574789,-0.001969742347860647
119,1.345699583,-0.002475713391,-0.008684994493587152,-0.0020579405319404633
